"","musym","dmudesc","compname","comppct_r","compkind","drainagecl","slope_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","landform_string","restr_depth","has_textural_B","pscs_clay","surface.rf.high","surface.txclay.high","subclass_prop_crit","subclass_slope_crit","subclass_calc","unit_calc"
"415","9015","CA6309015","Mollic Fluvaquents",2,"family","poorly",8,7,"e",NA,7,"e",NA,"drainageway & flood plain",37,FALSE,30,30,27,"7",2,"w","NA"
"394","9015","CA6309015","Ultic Haploxeralfs",2,"taxon above family","well",15,4,"e","3",4,"e","3","hill",117,TRUE,26.6090909090909,65,15,"6",3,"s","8"
"414","9015","CA6309015","Dunstone",18,"series","well",15,7,"e",NA,7,"e",NA,"hill",38,TRUE,24.6052631578947,15,25,"4a",3,"e","NA"
"413","9015","CA6309015","Loafercreek",28,"series","well",15,3,"e","1",3,"e","1","hill",66,TRUE,31.9393939393939,5,22,"2a",3,"e","8"
"419","9016","CA6309016","Typic Fluvaquents",2,"family","poorly",3,5,"w",NA,5,"w",NA,"flood plain",150,FALSE,3,15,5,"7",2,"w","NA"
"396","9016","CA6309016","Ultic Haploxeralfs",2,"taxon above family","well",15,4,"e","3",4,"e","3","hill",117,TRUE,26.6090909090909,65,15,"6",3,"s","8"
"399","9016","CA6309016","Fricot",3,"series","well",30,7,"e",NA,7,"e",NA,"ridge & hill",33,TRUE,20.5172413793103,35,20,"4a",4,"e","NA"
"395","9016","CA6309016","Typic Xerorthents",3,"taxon above family","well",60,8,NA,NA,8,NA,NA,"hill",124,FALSE,29,15,27,"2a",5,"NA","NA"
"397","9016","CA6309016","Wallyhill",15,"series","well",30,6,"e",NA,6,"e",NA,"hill",60,TRUE,22.8571428571429,15,20,"2a",4,"e","NA"
"398","9016","CA6309016","Nedsgulch",25,"series","well",30,4,"e","1",4,"e","1","hill",185,TRUE,20.3870967434299,35,20,"2a",4,"e","3"
"420","9017","CA6309017","Mollic Fluvaquents",2,"family","poorly",8,7,"e",NA,7,"e",NA,"drainageway & flood plain",37,FALSE,30,30,27,"7",2,"w","NA"
"321","9017","CA6309017","Hornitos",5,"series","well",25,7,"e",NA,7,"e",NA,"hill",25,FALSE,18,30,25,"4b",4,"s","NA"
"402","9017","CA6309017","Pardee",8,"series","well",15,6,"e",NA,6,"e",NA,"ridge & eroded fan remnant",46,TRUE,16.6260871472566,35,20,"4a",3,"e","NA"
"401","9017","CA6309017","Inks",10,"series","well",15,7,"e",NA,7,"e",NA,"low hill",46,TRUE,24.4782608695652,15,20,"4a",3,"e","NA"
"400","9017","CA6309017","Amador",15,"series","well",15,7,"e",NA,7,"e",NA,"low hill",38,FALSE,19,15,20,"4a",3,"e","NA"
"318","9018","CA6309018","Whiterock",15,"series","somewhat excessively",30,7,"e",NA,7,"e",NA,"hill",20,FALSE,16.75,10,25,"4b",4,"s","NA"
"317","9018","CA6309018","Copperopolis",20,"series","well",30,7,"e",NA,7,"e",NA,"hill",36,FALSE,17.5555555555556,25,20,"4a",4,"e","NA"
